1194728105, 2, , <UNAVAIL>, NAVOS, , , , , , , HIGHLINE WEST SEATTLE MENTAL HEALTH, 4, , , , , , , , PO BOX 46420, , SEATTLE, WA, 981460420, US, 2069337214, 2069337005, 2600 SW HOLDEN ST, , SEATTLE, WA, 981263505, US, 2069337214, 2069337005, 05/23/2005, 09/12/2017, , , , , JOHNSON, DAVID, MARVIN, CEO, 2069337225, 101YM0800X, 048, WA, Y, 251B00000X, , WA, N, 261QR0405X, , WA, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , ED.D., 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1679576433, 2, , <UNAVAIL>, CITY OF OROVILLE, , , , , , , CITY OF OROVILLE AMBULANCE, 3, , , , , , , , PO BOX 2200, , OROVILLE, WA, 988442200, US, 5094762926, 5094769067, 1308 IRONWOOD, , OROVILLE, WA, 988442200, US, 5094762926, 5094769067, 05/24/2005, 12/15/2011, , , , , ROWTON, DEANNA, , BILLING CLERK, 5094762926, 3416L0300X, 24X07, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 29929, 01, WA, L & I PROVIDER NUMBER, 9425208, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1689677320, 2, , <UNAVAIL>, PEACEHEALTH, , , , , , , ST JOSEPH MEDICAL CENTER, 3, , , , , , , , 2901 SQUALICUM PKWY, , BELLINGHAM, WA, 982251898, US, 3607345400, 3607566830, 2901 SQUALICUM PKWY, , BELLINGHAM, WA, 982251851, US, 3607345400, 3607566830, 05/25/2005, 02/16/2011, , , , , ZENDER, DALE, JACOB, CHIEF FINANCIAL OFFICER, 3607386313, 282N00000X, H-145, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3308905, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1861495327, 2, , <UNAVAIL>, FRONTIER BEHAVIORAL HEALTH, , , , , , , , , , , , , , , , 107 S DIVISION ST, , SPOKANE, WA, 992021510, US, 5098384651, 5093632762, 107 S DIVISION ST, , SPOKANE, WA, 992021510, US, 5098384651, 5093632762, 05/27/2005, 03/03/2017, , , , , DUNLAP, CRAIG, R., CFO, 5098384651, 101Y00000X, 001, WA, N, 101YM0800X, 001, WA, N, 103T00000X, , , Y, 2084P0800X, , , N, 363LA2200X, 001, WA, N, 104100000X, 001, WA, N, 1041C0700X, 001, WA, N, 106H00000X, 001, WA, N, 2084P0804X, , WA, N, 363L00000X, 001, WA, N, 364S00000X, , , N, 364SP0808X, 001, WA, N, 364SP0809X, 001, WA, N, 363LP0808X, 001, WA, N, 363LF0000X, 001, WA, N, 7111396, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 
1760485221, 2, , <UNAVAIL>, TRI-STATE MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , 1221 HIGHLAND AVE, , CLARKSTON, WA, 994032829, US, 5097585511, 5097519406, 1221 HIGHLAND AVE, , CLARKSTON, WA, 994032829, US, 5097585511, 5097519406, 05/27/2005, 03/24/2011, , , , , TOWN, ALEX, C, CFO, 5097584667, 282NC0060X, H-108, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 003110900, 05, ID, , 003308004, 05, WA, , 00620, 01, , BLUE CROSS OF IDAHO, 000010002128, 01, , REGENCE BLUE SHIELD OF IDAHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1376546978, 2, , <UNAVAIL>, OREGON PEDORTHIC SERVICES, , , , , , , ARCHFITTERS, 3, , , , , , , , PO BOX 608, , GRESHAM, OR, 970300154, US, 5034911723, 5034890706, 12214 SE MILL PLAIN BLVD, STE 102, VANCOUVER, WA, 986846019, US, 3608851930, 3608851930, 05/27/2005, 04/20/2008, , , , , STOCKWELL, RODRICK, FORD, OFFICE MANAGER, 5034911723, 332B00000X, =========, OR, X, 335E00000X, =========, OR, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 05, OR, , 207923, 05, OR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1275536757, 2, , <UNAVAIL>, FAMILY HOME CARE CORPORATION, , , , , , , , , , , , , , , , 22820 E APPLEWAY, , LIBERTY LAKE, WA, 990199514, US, 5094734900, 5097554974, 22820 E APPLEWAY, , LIBERTY LAKE, WA, 990199514, US, 5094734900, 5097554974, 05/27/2005, 01/19/2009, , , , , KOLCUM, JEFFREY, R, CHIEF FINANCIAL OFFICER, 5094734900, 251E00000X, IS280, WA, Y, 251E00000X, IS281, WA, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 147269, 01, WA, LABOR & INDUSTRIES, 9052200, 05, WA, , 7330095, 05, WA, , 5090FA, 01, WA, REGENCE PVT INSURANCE, 119038, 05, WA, , 9055120, 05, WA, , 7408065, 05, WA, , 9050949, 05, WA, , 1128, 01, WA, PREMERA PVT INSURANCE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , CPA, , , , , , , , , , , , , , , , 
1003819319, 2, , <UNAVAIL>, SACRED HEART MEDICAL CENTER, , , , , , , , , , , , , , , , PO BOX 2555, , SPOKANE, WA, 992202555, US, 5094743131, 5094746846, 101 W 8TH AVE, , SPOKANE, WA, 992042307, US, 5094743131, 5094746846, 05/31/2005, 04/20/2008, , , , , MCKINNEY, ANITA, J, BUSINESS SERVICES BILLING SUPERVISO, 5094743131, 282NC0060X, =========, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3304201, 05, WA, , 3500022, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1346242542, 2, , <UNAVAIL>, NORTHWEST KIDNEY CENTERS, , , , , , , NORTHWEST KIDNEY CENTERS DBA SEATTLE KIDNEY CENTER, 3, , , , , , , , 700 BROADWAY, , SEATTLE, WA, 981224302, US, 2062922771, 2062922133, 548 15TH AVE, , SEATTLE, WA, 981225609, US, 2062922771, 2062922133, 06/01/2005, 02/06/2009, , , , , JACKSON, JOYCE, F, CEO, 2062922771, 261QE0700X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0251, 01, WA, REGENCE BLUE SHIELD, 3999604, 05, WA, , 171, 01, WA, PREMERA BLUE CROSS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1407858681, 2, , <UNAVAIL>, BESSIE BURTON SULLIVAN HOME HEALTH AGENCY, , , , , , , , , , , , , , , , 1020 E JEFFERSON ST, , SEATTLE, WA, 981225336, US, 2063287850, 2065688575, 2424 156TH AVE NE, , BELLEVUE, WA, 980073814, US, 4255191265, 4256411115, 06/01/2005, 11/09/2007, , , , , GRAINGER, DOROTHY, R, EXECUTIVE DIRECTOR, 2063287850, 251E00000X, IS- 234, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9044389, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , RN,  MSN,  MBA, , , , , , , , , , , , , , , , 
1437153467, 2, , <UNAVAIL>, GREGORY A HOVANDER, , , , , , , SULTAN PHARMACY & NATURAL CARE, 3, , , , , , , , 505 W STEVENS AVE, , SULTAN, WA, 982949453, US, 3607938813, 3607992383, 505 W STEVENS AVE, , SULTAN, WA, 982949453, US, 3607938813, 3607992383, 06/08/2005, 07/01/2008, , , , , HOVANDER, GREGORY, ALLAN, OWNER / PHARMACIST, 3607938813, 183500000X, PH00009535, WA, N, 333600000X, CF00056612, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6023170, 05, WA, , 105289, 01, WA, STATE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , RPH, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1497759203, 2, , <UNAVAIL>, WALLA WALLA COMMUNITY HOSPICE, , , , , , , , , , , , , , , , PO BOX 2026, , WALLA WALLA, WA, 993620948, US, 5095255561, 5095253517, 1067 E ISAACS AVE, , WALLA WALLA, WA, 993622040, US, 5095255561, 5095253517, 06/09/2005, 07/08/2007, , , , , HENDRICKS, REBECCA, L, EXECUTIVE DIRECTOR, 5095255561, 251G00000X, IS-469, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3990132, 05, WA, , 132121, 05, OR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1972507580, 2, , <UNAVAIL>, KADLEC REGIONAL MEDICAL CENTER, , , , , , , , , , , , , , , , 888 SWIFT BLVD, , RICHLAND, WA, 993523514, US, 5099464611, , 888 SWIFT BLVD, , RICHLAND, WA, 993523514, US, 5099464611, , 06/10/2005, 12/04/2009, , , , , MEEK, JULIE, L, VP FINANCE, 5099422708, 273Y00000X, , WA, N, 282N00000X, C036001542, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3311305, 05, WA, , 3200235, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1144224692, 2, , <UNAVAIL>, VIRGINIA MASON MEDICAL CENTER, , , , , , , FEDERAL WAY PHARMACY, 3, , , , , , , , 33501 1ST WAY S, , FEDERAL WAY, WA, 980036208, US, 2538741650, 2538741665, 33501 1ST WAY S, , FEDERAL WAY, WA, 980036208, US, 2538741650, 2538741665, 06/10/2005, 07/08/2007, , , , , BAUTISTA, AILEEN, , LEAD PHARMACIST, 2538741650, 333600000X, 262010303138, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4918530, 01, WA, NCPDP, 6015978, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , RPH, , , , , , , , , , , , , , , , , 
