1699778704, 2, , <UNAVAIL>, WEBSTER COUNTY MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , PO BOX 312, 324 MILLER MOUNTAIN DRIVE, WEBSTER SPRINGS, WV, 26288, US, 3048475682, 3048475985, 324 MILLER MOUNTAIN DR, , WEBSTER SPRINGS, WV, 262881026, US, 3048475682, 3048475985, 05/23/2005, 07/20/2015, , , , , RIFFLE, TINA, LOUISE, CREDENTIALING, 3048475682, 282NC0060X, 1449, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1053679282, 01, WV, NPI, 1255661955, 01, WV, NPI, 1437453719, 01, WV, NPI, 1730415332, 01, WV, NPI, 1639264582, 01, WV, NPI, 1720243769, 01, WV, NPI, 1992078380, 01, WV, NPI, 1174788111, 01, WV, NPI, 1013203058, 01, WV, NPI, 1760776272, 01, WV, NPI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1063416790, 2, , <UNAVAIL>, EPPYS DRUG STORE INC, , , , , , , EPPYS DRUG, 3, , , , , , , , 2987 ROBERT C BYRD DR, , BECKLEY, WV, 258014400, US, , , 2987 ROBERT C BYRD DR, , BECKLEY, WV, 258014400, US, 3042526331, 3042520145, 06/10/2005, 10/27/2015, , , , , WADE, MARY, , OWNER/PRESIDENT, 3042526331, 333600000X, , , N, 3336C0003X, SP0550081, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2109346, 01, , PK, 0141865000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1295739654, 2, , <UNAVAIL>, JUDYS DRUG STORE INC, , , , , , , JUDYS DRUG STORE INC, 3, , , , , , , , 24 N MAIN ST, , PETERSBURG, WV, 268471518, US, 3042571044, 3042572681, 24 N MAIN ST, , PETERSBURG, WV, 268471518, US, 3042571044, 3042572681, 06/13/2005, 02/15/2017, , , , , JUDY, EMILY, , PRESIDENT, 3042571044, 333600000X, , , N, 3336C0003X, SP0550070, WV, Y, 3336L0003X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2109313, 01, , PK, 0141999000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , PHARMD, , , , , , , , , , , , , , , , 
1730184169, 2, , <UNAVAIL>, MON HEALTHCARE INC, , , , , , , MON HEALTHCARE EQUIPMENT & SUPPLIES, 3, , , , , , , , 1159 VAN VOORHIS RD, , MORGANTOWN, WV, 265053431, US, 3042852700, 3042852704, 1159 VAN VOORHIS RD, , MORGANTOWN, WV, 265053431, US, 3042852700, 3042852704, 06/13/2005, 10/29/2010, , , , , KAEHLER, PAMELA, M, EXECUTIVE DIRECTOR, 3042852700, 332BX2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0148538000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1407851769, 2, , <UNAVAIL>, JUDYS DRUG STORE INC, , , , , , , JUDYS HEALTH EDUCATION SERVICES, 5, , , , , , , , 24 N MAIN ST, , PETERSBURG, WV, 268471518, US, 3042571044, 3042572681, 24 N MAIN ST, , PETERSBURG, WV, 268471518, US, 3042571044, 3042572681, 06/14/2005, 04/24/2012, , , , , JUDY, DARIN, C, VICE PRESIDENT, 3042571044, 133NN1002X, 30, WV, Y, 261Q00000X, , , N, 291U00000X, 51D1024349, WV, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0141999000, 05, WV, , =========, 01, , TAX ID FOR INSURANCES, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1104821305, 2, , <UNAVAIL>, WHEELING HOSPITAL INC, , , , , , , , , , , , , , , , 1 MEDICAL PARK, , WHEELING, WV, 260036379, US, 3042433124, 3042436343, 1 MEDICAL PARK, , WHEELING, WV, 260036379, US, 3042433124, 3042436343, 06/15/2005, 02/14/2012, , , , , VIOLI, RONALD, C, CEO, 3042433263, 282N00000X, 89, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001742046, 01, WV, MOUNTAIN STATE BLUE CROSS SKILLED, 0001131002, 05, WV, , 9384750, 05, OH, , 5100501, 01, WV, MEDICARE PART B, 0001131000, 05, WV, , 300047, 01, WV, BLACK LUNG PROVIDER NUMBE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1356346357, 2, , <UNAVAIL>, FAIRMONT HOME EQUIPMENT & SUPPLY COMPANY, , , , , , , FAIRMONT HOME MEDICAL, 5, , , , , , , , 120 MARION SQ, , FAIRMONT, WV, 265541358, US, 3043678130, 3043678135, 120 MARION SQ, , FAIRMONT, WV, 265541358, US, 3043678130, 3043678135, 06/16/2005, 12/28/2010, , , , , KAEHLER, PAMELA, M, EXECUTIVE DIRECTOR, 3042852700, 332BX2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9100036000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , MBA, , , , , , , , , , , , , , , , 
1073518007, 2, , <UNAVAIL>, CABELL HUNTINGTON HOSPITAL INC, , , , , , , , , , , , , , , , 1340 HAL GREER BLVD, , HUNTINGTON, WV, 257013800, US, 3045262000, 3045264846, 1340 HAL GREER BLVD, , HUNTINGTON, WV, 257013800, US, 3045262000, 3045264846, 06/16/2005, 11/20/2015, , , , , FOWLER, KEVIN, , CHEIF EXECUTIVE OFFICER, 3045262000, 282N00000X, 48, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001710104, 01, WV, WV BC BS, 1217758, 05, OH, , 000000054452, 01, KY, ANTHEM KY, =========001, 05, OH, , =========04, 01, WV, WV WORKERS COMP, =========00, 01, WV, WV WCOMP PROVIDER ID, =========06, 01, , OH WORKERS COMP, 0001144000, 05, WV, , 000312421, 01, WV, BLUE CROSS, 01690049, 05, KY, , 000000061917, 01, KY, ANTHEM KY LAB ONLY #, =========00, 01, OH, OH WCOMP PROVIDER ID, 000000138976, 05, OH, , 272203, 01, WV, MAMSI PROV ID, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , CEO, , , , , , , , , , , , , , , , 
1952306706, 2, , <UNAVAIL>, ST FRANCIS WEST HEALTH CARE INC, , , , , , , , , , , , , , , , PO BOX 6549, , CHARLESTON, WV, 253620549, US, 3043452273, 3043452279, 121 WASHINGTON ST W, , CHARLESTON, WV, 253022343, US, 3043452273, 3043452279, 06/17/2005, 07/08/2007, , , , , ADI, ADLA, , PRESIDENT, 3043452273, 291U00000X, 09228, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0002101002, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , , , , , , , , , , , , , , , , , 
1790780377, 2, , <UNAVAIL>, BLANDS DRUG STORE, , , , , , , BLANDS DRUG STORE, 3, , , , , , , , 217 W PIKE ST, , CLARKSBURG, WV, 263012750, US, , , 217 W PIKE ST, , CLARKSBURG, WV, 263012750, US, 3046245491, 3046230830, 06/20/2005, 09/13/2007, , , , , FOX, BRENDA, , PIC, 3046245491, 332B00000X, , , N, 333600000X, , , N, 3336C0003X, , , N, 3336C0004X, SP0550017, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0139685000, 05, WV, , 8500169, 05, WV, , 5000980, 01, , OTHER ID NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1407852957, 2, , <UNAVAIL>, SUMMERS COUNTY COUNCIL ON AGING, , , , , , , SENIOR CENTER, 5, , , , , , , , 120 2ND AVE, , HINTON, WV, 259512402, US, 3044664019, 3044661890, 120 2ND AVE, , HINTON, WV, 259512402, US, 3044664019, 3044661890, 06/21/2005, 04/20/2008, , , , , JOHNSON, MARGARET, R, CCP\WAIVER CORDINATOR, 3044664019, 372600000X, =========, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0030778000, 05, WV, , 0030778002, 05, WV, , 0030778001, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1295730703, 2, , <UNAVAIL>, WHEELING RENAL CARE LLC, , , , , , , WHEELING DIALYSIS CENTER, 3, , , , , , , , 500 MEDICAL PARK, STE 100, WHEELING, WV, 260037600, US, 3042427770, 3042433216, 500 MEDICAL PARK, STE 100, WHEELING, WV, 260037600, US, 3042427770, 3042433216, 06/21/2005, 07/08/2007, , , , , LUCKI, DEBRA, , ASSISTANT ADMINISTRATOR, 3042427770, 261QE0700X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00700489353, 05, WV, , 2028504, 05, OH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , R.N., , , , , , , , , , , , , , , , 
1326044710, 2, , <UNAVAIL>, MICHAEL M BOUSTANY MD INC, , , , , , , , , , , , , , , , PO BOX 3850, , CHARLESTON, WV, 253383850, US, 3042339314, 3042330265, 415 MORRIS ST, STE 105, CHARLESTON, WV, 253011840, US, 3043437557, 3043433441, 06/22/2005, 07/08/2007, , , , , BOUSTANY, MICHAEL, M, OWNER, 3043437557, 208600000X, 10600, WV, X, 2086S0129X, 10600, WV, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6953086900, 05, KY, , 2065901, 05, OH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MD, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1073519369, 2, , <UNAVAIL>, WHEELING RENAL CARE LLC, , , , , , , NEW MARTINSVILLE DIALYSIS FACILITY, 3, , , , , , , , 500 MEDICAL PARK, STE 100, WHEELING, WV, 260037600, US, 3042427770, 3042433216, 1 BENJAMIN DR, , NEW MARTINSVILLE, WV, 26155, US, 3044552700, 3044554151, 06/22/2005, 07/08/2007, , , , , LUCKI, DEBRA, , ASSISTANT ADMINISTRATOR, 3042427770, 261QE0700X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2117659, 05, OH, , 0122604000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , R.N., , , , , , , , , , , , , , , , 
