1619970795, 2, , <UNAVAIL>, SWEET MEDICAL CENTER INC, , , , , , , , , , , , , , , , PO BOX 309, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 419 PENNSYLVANIA ST, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 05/23/2005, 01/05/2012, , , , , PAYNE, JARED, N, EXECUTIVE DIRECTOR, 4063572403, 261QF0400X, 9791, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 730354, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , MBA, , , , , , , , , , , , , , , , 
1922007756, 2, , <UNAVAIL>, FLATHEAD COUNTY HOME HEALTH, , , , , , , , , , , , , , , , 736 S MAIN ST, , KALISPELL, MT, 599015342, US, 4067516800, 4067516807, 736 S MAIN ST, , KALISPELL, MT, 599015342, US, 4067516800, 4067516807, 07/14/2005, 07/09/2007, , , , , RUSSELL, JOE, , HEALTH OFFICER, 4067518101, 251E00000X, 10111, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0000740311, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1255330791, 2, , <UNAVAIL>, ANESTHESIA PARTNERS OF MONTANA PC, , , , , , , , , , , , , , , , DEPARTMENT 0906, , DENVER, CO, 802560001, US, , , 2900 12TH AVE N, SUITE 205W, BILLINGS, MT, 591017506, US, 4062540707, 4062540709, 07/18/2005, 07/01/2010, , , , , MCKELL, TAMI, , CREDENTIALING, 4062540707, 174400000X, 7251, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1649279183, 2, , <UNAVAIL>, IMMANUEL LUTHERAN CORPORATION, , , , , , , IMMANUEL LUTHERAN HOME, 3, , , , , , , , 185 CRESTLINE AVE, , KALISPELL, MT, 599013573, US, 4067529622, 4067529615, 185 CRESTLINE AVE, , KALISPELL, MT, 599013573, US, 4067529622, 4067529615, 07/18/2005, 12/20/2010, , , , , GENDREAU, KEITH, , ADMINSTRATOR.CEO, 4067529622, 314000000X, 10077, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 40632, 01, MT, BCBS, 0347815, 05, MT, , 0313300, 05, MT, , 0348023, 05, MT, , 0534430, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , LNHA CEO, CALA,  FELLO, , , , , , , , , , , , , , , , 
1922007202, 2, , <UNAVAIL>, ANESTHESIA ASSOCIATES OF GREAT FALLS LLC, , , , , , , , , , , , , , , , 401 15TH AVE S, SUITE 109, GREAT FALLS, MT, 594054334, US, 4067276311, 4067271070, 401 15TH AVE S, SUITE 109, GREAT FALLS, MT, 594054334, US, 4067276311, 4067271070, 07/19/2005, 01/21/2010, , , , , WEBER, BRENT, S, ADMINISTRATOR, 4067276311, 207L00000X, 4764, 5327, 8985, 9832, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 68867, 05, MT, , 68850, 05, MT, , 68884, 05, MT, , 68918, 05, MT, , 69003, 05, MT, , 68901, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1467452102, 2, , <UNAVAIL>, SHERIDAN MEMORIAL HOSPITAL ASSOCIATION, , , , , , , , , , , , , , , , 440 W LAUREL AVE, , PLENTYWOOD, MT, 592541526, US, 4067653700, 4067653800, 440 W LAUREL AVE, , PLENTYWOOD, MT, 592541526, US, 4067653700, 4067653800, 07/22/2005, 03/06/2013, , , , , CHRISTENSEN, SANDRA, , CEO, 4067653700, 282NC0060X, 12506, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0356720, 05, MT, , 60792, 01, MT, BC BS, 0412556, 05, MT, , 0442546, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1588664270, 2, , <UNAVAIL>, KALISPELL HEALTHCARE 1 LLC, , , , , , , HERITAGE PLACE HEALTHCARE COMMUNITY, 3, , , , , , , , 171 HERITAGE WAY, , KALISPELL, MT, 599013145, US, 4067550800, , 171 HERITAGE WAY, , KALISPELL, MT, 599013145, US, 4067550800, , 07/26/2005, 06/09/2013, , , , , HILLMAN, HEIDI, , CHIEF FINANCIAL OFFICER, 9528737977, 314000000X, 9949, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 310675, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1730189432, 2, , <UNAVAIL>, MILES CITY HEALTHCARE LLC, , , , , , , FRIENDSHIP VILLA HEALTHCARE COMMUNITY, 3, , , , , , , , 2300 WILSON ST, , MILES CITY, MT, 593015078, US, 4068742687, , 2300 WILSON ST, , MILES CITY, MT, 593015078, US, 4068742687, , 07/26/2005, 05/18/2017, , , , , ELSEY, DEBORAH, S, VP REIMBURSEMENT, 9528737948, 225X00000X, 13520, MT, N, 235Z00000X, 4672, MT, N, 314000000X, 9760, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 312065, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1437159035, 2, , <UNAVAIL>, EASTER SEALS- GOODWILL NORTHERN ROCKY MOUNTAIN INC, , , , , , , MEDALLION MEDICAL CARE, 3, , , , , , , , 4400 CENTRAL AVE, , GREAT FALLS, MT, 594051641, US, 4067713712, 4064524850, 815 2ND ST S STE 107, , GREAT FALLS, MT, 594054001, US, 4067713712, 4064524850, 07/26/2005, 05/03/2010, , , , , WARK, TERRI, SUE, ACCOUNTING, 4067713712, 251E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 740044, 05, MT, , 217990, 01, MT, BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, EASTER SEALS GOODWILL NORTHERN ROCKY MOUNTAIN INC., <UNAVAIL>, MRS., , , , , , , , , , , , , , , , , , 
1831199314, 2, , <UNAVAIL>, AMERICAN LUTHERAN CHURCH VALLEY VIEW HOME, , , , , , , , , , , , , , , , 1225 PERRY LN, , GLASGOW, MT, 592301532, US, 4062282461, 4062284831, 1225 PERRY LN, , GLASGOW, MT, 592301532, US, 4062282461, 4062284831, 07/27/2005, 01/05/2010, , , , , KLOTZ, THOMAS, FRANCIS, ADMINISTRATOR, 4062282461, 261QA0600X, 9921, MT, N, 310400000X, 9958, MT, N, 313M00000X, 9958, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0312572, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1336149517, 2, , <UNAVAIL>, EASTER SEALS-GOODWILL NORTHERN ROCKY MOUNTAIN INC, , , , , , , HIGHLAND HOSPICE, 5, , , , , , , , 4400 CENTRAL AVE, , GREAT FALLS, MT, 594051641, US, 4067713727, 4064524850, 4400 CENTRAL AVE, , GREAT FALLS, MT, 594051641, US, 4067713727, 4064524850, 07/28/2005, 07/06/2010, , , , , WARK, TERRI, S, ACCOUNTING MANAGER, 4067713712, 251G00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 750048, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1366442717, 2, , <UNAVAIL>, MICHAEL HAMBLOCK, , , , , , , SILVER BOW PHYSICAL THERAPY, 3, , , , , , , , 3718 E LAKE DR, SUITE A, BUTTE, MT, 597014314, US, 4064947050, 4064941424, 3718 E LAKE DR, SUITE A, BUTTE, MT, 597014314, US, 4064947050, 4064941424, 07/28/2005, 07/23/2007, , , , , HAMBLOCK, MIKE, H, OWNER, 4064947050, 225100000X, 374PT, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CK8659, 01, MT, TRICARE, MSF1190526, 01, MT, MONTANA STATE FUND, CK8659, 01, MT, RAILROAD MEDICARE, 0346112, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , PT, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1184624264, 2, , <UNAVAIL>, CITY OF HAVRE, , , , , , , HAVRE AMBULANCE SERVICE, 3, , , , , , , , 520 4TH ST, , HAVRE, MT, 595013650, US, 4062685651, 4062655088, 520 4TH ST, , HAVRE, MT, 595013650, US, 4062685651, 4062655088, 07/29/2005, 07/24/2013, , , , , SHEPPARD, DAVID, ERIC, FIRE CHIEF, 4062656511, 3416L0300X, 017, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6516 2, 01, MT, BLUE CROSS BLUE SHIELD, 044-8162, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1801897780, 2, , <UNAVAIL>, GREAT FALLS CLINIC LLP, , , , , , , , , , , , , , , , 1400 29TH ST S, , GREAT FALLS, MT, 594055353, US, 4064542171, 4067713021, 1400 29TH ST S, , GREAT FALLS, MT, 594055353, US, 4064542171, 4067713021, 08/02/2005, 08/11/2017, , , , , NEWMILLER, VICKI, L, CEO, 4062168030, 156FX1800X, 1554, MT, N, 261QM1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1447251327, 2, , <UNAVAIL>, GREAT FALLS CLINIC SURGERY CENTER LLC, , , , , , , , , , , , , , , , 1509 29TH ST S, , GREAT FALLS, MT, 594055363, US, 4067713500, 4067713502, 1509 29TH ST S, , GREAT FALLS, MT, 594055363, US, 4067713500, 4067713501, 08/02/2005, 07/20/2011, , , , , CORNWELL, CHERYL, D, CHIEF FINANCIAL OFFICER, 4062168057, 261QA1903X, 9722, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 27C0001016, 01, , CMS (FORMERLY HCFA), 0350829, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
