1134122021, 2, , <UNAVAIL>, NEVADA CARDIOLOGY PROFESSIONAL ASSN, , , , , , , NEVADA CARDIOLOGY ASSOCIATES, 3, , , , , , , , 3121 S MARYLAND PKWY, STE 512, LAS VEGAS, NV, 891092310, US, 7027967150, 7027969071, 3121 S MARYLAND PKWY, STE 512, LAS VEGAS, NV, 891092310, US, 7027967150, 7027969071, 05/24/2005, 08/27/2014, , , , , SALYER, PETRA, , PRACTICE MANAGER, 7022331000, 207RC0000X, 175317600, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1609873215, 2, , <UNAVAIL>, PROGRESSIVE HOSPITAL, , , , , , , , , , , , , , , , 4015 S MCLEOD DR, , LAS VEGAS, NV, 891214305, US, 7024332200, 7027310581, 4015 S MCLEOD DR, , LAS VEGAS, NV, 891214305, US, 7024332200, 7027310581, 06/29/2005, 07/08/2007, , , , , THIELE, ROSEMARY, , CEO, 7024332200, 282E00000X, 2681HOS-12, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2681HOS-12, 01, NV, HOSPITAL LICENSE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., III, , , , , , , , , , , , , , , , , 
1972500445, 2, , <UNAVAIL>, MOUNTAIN WEST INC, , , , , , , WENDOVER AMBULANCE, 3, , , , , , , , PO BOX 2530, , WEST WENDOVER, NV, 898832530, US, 7756642081, 7756642244, 427 MESA, , WEST WENDOVER, NV, 898832530, US, 7756642081, 7756642244, 06/30/2005, 10/27/2011, , , , , SNYDER, LAUARA, ANN, OWNER, 7756642081, 3416L0300X, 2301L, UT, N, 3416L0300X, 05326, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3204853, 05, NV, , =========006, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1760489066, 2, , <UNAVAIL>, ALTERNATIVE CARE LLC, , , , , , , ALWAYS BETTER CARE, 3, , , , , , , , 576 W. 900 S., SUITE 260, WOODS CROSS, UT, 840108127, US, 8013974054, 8013974196, 6950 VIA OLIVERO AVE, STE B4, LAS VEGAS, NV, 891172849, US, 7023648006, 7023645675, 06/30/2005, 10/06/2016, , , , , BANGERTER, DEE, R, CEO/PRESIDENT, 8013974100, 251G00000X, 3776HPC0, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 100502343, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1669479879, 2, , <UNAVAIL>, ATTENTIVE HOME HEALTH CARE INC, , , , , , , , , , , , , , , , 8542 DEL WEBB BLVD, , LAS VEGAS, NV, 891348676, US, 7022569000, 7022566285, 8542 DEL WEBB BLVD, , LAS VEGAS, NV, 891348676, US, 7022569000, 7022566285, 07/01/2005, 11/13/2012, , , , , THOMAS, EVA, MAY, ADMINISTRATOR, 7022569000, 251E00000X, 297055, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 005802017, 01, NV, NEVADA HOMEMAKER-RESPITE, 002902017, 05, NV, , 003002223, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1295732451, 2, , <UNAVAIL>, ADVANCED HOUSE CALLS INC, , , , , , , ADVANCED HOUSE CALLS, 3, , , , , , , , 112 S JONES BLVD, , LAS VEGAS, NV, 891072614, US, 7028387110, 7028387112, 112 S JONES BLVD, , LAS VEGAS, NV, 891072614, US, 7028387110, 7028387112, 07/02/2005, 11/02/2009, , , , , BRYAN, GREGORY, K, MEDICAL DIRECTOR, 7028387110, 174400000X, 7997, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CJ6201, 01, NV, GROUP ID RR, 100500402, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1104823368, 2, , <UNAVAIL>, QUALITY MEDICAL IMAGING OF NEVADA LLC., , , , , , , QUALITY MEDICAL IMAGING, 3, , , , , , , , 2490 PROFESSIONAL CT, SUITE 110, LAS VEGAS, NV, 891280825, US, 7028391133, 7028511616, 2490 PROFESSIONAL CT, SUITE 110, LAS VEGAS, NV, 891280825, US, 7028391133, 7028511616, 07/02/2005, 05/25/2016, , , , , FASELT, ROGER, C, PRESIDENT, 7028391133, 335V00000X, LLC5073-2001, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 630001670, 01, NV, RAILROAD MEDICARE ID, 002702036, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1548267677, 2, , <UNAVAIL>, MORELAND PHYSICAL THERAPY PROF. CORP., , , , , , , PHYSICAL THERAPY AND SPORTS REHAB., 3, , , , , , , , 2225 N MCCARRAN BLVD, , SPARKS, NV, 894313365, US, 7753591199, 7753591195, 2225 N MCCARRAN BLVD, , SPARKS, NV, 894313365, US, 7753591199, 7753591195, 07/05/2005, 07/09/2007, , , , , MORELAND, MONICA, MARY, CLINIC DIRECTOR/OWNER, 7753591199, 174400000X, 595, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , P.T., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1669479663, 2, , <UNAVAIL>, RUSSELL P JAYNE MD LTD, , , , , , , THE RETINA CENTER AT LAS VEGAS, 3, , , , , , , , PO BOX 50708, , HENDERSON, NV, 890160708, US, 7027377258, 7024547258, 6839 W CHARLESTON BLVD, , LAS VEGAS, NV, 891171635, US, 7027377258, 7024547258, 07/05/2005, 11/07/2007, , , , , JAYNE, RUSSELL, PATRICK, PRESIDENT, 7027377258, 207W00000X, 9106, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DA5010, 01, NV, RAILROAD MEDICARE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1750388708, 2, , <UNAVAIL>, ALTERNATIVE CARE LLC, , , , , , , ALWAYS BETTER CARE, 3, , , , , , , , 576 W 900 S, SUITE 260, WOODS CROSS, UT, 840108194, US, 8013974100, 8013974197, 6950 VIA OLIVERO AVE, STE B4, LAS VEGAS, NV, 891172849, US, 7023648006, 7023645675, 07/06/2005, 06/08/2016, , , , , BANGERTER, DEE, R, PRESIDENT, 8013974000, 251E00000X, 3323HBR5, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2902020, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, ROCKY MOUNTAIN HOME HEALTH,  LLC, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
1083612741, 2, , <UNAVAIL>, STATE OF NEVADA, , , , , , , , , , , , , , , , 100 VETERANS MEMORIAL DRIVE, , BOULDER CITY, NV, 89005, US, 7023326713, 7023326762, 100 VETERANS MEMORIAL DRIVE, , BOULDER CITY, NV, 89005, US, 7023326713, 7023326762, 07/07/2005, 08/01/2013, , , , , BELLINGER, FRANK, S, ADMINISTRATOR, 7023326713, 311500000X, 2984 SNF-6, NV, N, 313M00000X, 2984 SNF-6, NV, N, 314000000X, 2984 SNF-6, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1902320, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, NEVADA STATE VETERANS HOME, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
1841297785, 2, , <UNAVAIL>, THE CENTER FOR OUTPATIENT SURGERY, , , , , , , PHYSICIAN'S PROCEDURE CENTER, 4, , , , , , , , 18653 WEDGE PKWY, , RENO, NV, 895113005, US, 7757707218, 7757707219, 18653 WEDGE PKWY, , RENO, NV, 895113005, US, 7757707218, 7757707219, 07/07/2005, 07/08/2007, , , , , JASOM, JOSEPH, E, CEO, 7757707218, 261Q00000X, 46IASC9, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1568460863, 2, , <UNAVAIL>, ACCESS AIR AMBULANCE, , , , , , , , , , , , , , , , 3647 RICKENBACKER ST, , BOISE, ID, 837055022, US, 2084339850, 2083314533, 1655 THOMAS GALLAGHER WAY, , ELKO, NV, 898017849, US, 7757383493, 7757383494, 07/11/2005, 04/20/2008, , , , , HUTCHENS, JIM, , PRESIDENT, 2083899906, 3416A0800X, 8433, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, NV, EIN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1932107281, 2, , <UNAVAIL>, PERSPECTIVE HOME HEALTH INC, , , , , , , , , , , , , , , , 6045 S FORT APACHE RD, SUITE 110, LAS VEGAS, NV, 891485644, US, 7029485095, 7029485115, 6045 S FORT APACHE RD, SUITE 110, LAS VEGAS, NV, 891485644, US, 7029485095, 7029485115, 07/11/2005, 08/21/2013, , , , , ESTIANDAN, CHRISTOPHER, , ADMINISTRATOR, 7029485095, 251E00000X, 346HHA, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 100500728, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1972501021, 2, , <UNAVAIL>, STATE OF NEVADA, , , , , , , NORTHERN NEVADA ADULT MENTAL HEALTH SERVICES, 3, , , , , , , , 4150 TECHNOLOGY WAY, , CARSON CITY, NV, 897062026, US, 7756882001, 7756882192, 480 GALLETTI WAY, , SPARKS, NV, 894315564, US, 7756882001, 7756882192, 07/12/2005, 01/13/2017, , , , , ALLERDYCE, MICHAEL, , RATES AND COST CONTAINMENT MANAGER, 7756845952, 261QM0850X, 652HOS-14, NV, Y, 283Q00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 001416864, 05, NV, , 100503395, 05, NV, , 002016864, 05, NV, , 001316864, 05, NV, , 002816864, 05, NV, , 005416864, 05, NV, , 100501303, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
