1083617013, 2, , <UNAVAIL>, MANCHESTER COMMUNITY HEALTH CENTER, , , , , , , , , , , , , , , , 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 05/23/2005, 06/02/2016, , , , , MCCRACKEN, KRISTEN, , PRESIDENT CEO, 6039355210, 261QF0400X, , NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3080891, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1770588444, 2, , <UNAVAIL>, COMMUNITY COUNCIL OF NASHUA NH, , , , , , , GREATER NASHUA MENTAL HEALTH CENTER AT COMMUNITY COUNCIL, 3, , , , , , , , 7 PROSPECT ST., , NASHUA, NH, 030603990, US, 6038896147, 6038831568, 7 PROSPECT ST., , NASHUA, NH, 030603990, US, 6038896147, 6038831568, 06/17/2005, 10/30/2014, , , , , HEMMING, STUART, A, INTERIM CEO, 6038896147, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1114922788, 2, , <UNAVAIL>, COOS COUNTY INSTITUTION, , , , , , , COOS COUNTY NURSING HOSPITAL, 5, , , , , , , , PO BOX 10, , WEST STEWARTSTOWN, NH, 035970010, US, 6032463321, 6032468117, 136 COUNTY FARM ROAD, , WEST STEWARTSTOWN, NH, 035970010, US, 6032463321, 6032468117, 06/20/2005, 10/16/2007, , , , , COLLINS, SUZANNE, L, NURSING HOSPITAL ADMINISTRATOR, 6032463321, 313M00000X, 00049, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80877168, 05, NH, , 99591031, 01, NH, NEW HAMPSHIRE RESPITE, 030X201, 05, VT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , NHA, , , , , , , , , , , , , , , , 
1619972296, 2, , <UNAVAIL>, NEWFOUND AREA NURSING ASSOCIATION, , , , , , , , , , , , , , , , 214 LAKE ST, , BRISTOL, NH, 032223572, US, 6037442733, 6037449175, 214 LAKE ST, , BRISTOL, NH, 032223572, US, 6037442733, 6037449175, 06/20/2005, 01/08/2015, , , , , WENTWORTH, PATRICIA, A, EXECUTIVE DIRECTOR, 6037442733, 251E00000X, 01281, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3077870, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RN,  MBA, , , , , , , , , , , , , , , , 
1639175110, 2, , <UNAVAIL>, FANARIAN ENTERPRISES LLC, , , , , , , THE PRESCRIPTION CENTER, 3, , , , , , , , 246 PLEASANT ST, STE 100, CONCORD, NH, 033012548, US, 6032264848, 6032287351, 246 PLEASANT ST STE 100, STE 100, CONCORD, NH, 033012548, US, 6032264848, 6032287351, 06/21/2005, 05/01/2017, , , , , FANARAS, CHARLES, , PRESIDENT, 6032249591, 333600000X, , , N, 3336C0003X, 0653, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2053779, 01, , PK, 30702650, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , BS, , , , , , , , , , , , , , , , 
1982600128, 2, , <UNAVAIL>, BEDFORD PHARMACY CORP., , , , , , , , , , , , , , , , 209 ROUTE 101, 101 PLAZA, BEDFORD, NH, 031105440, US, 6034723919, 6034727448, 209 ROUTE 101, 101 PLAZA, BEDFORD, NH, 031105440, US, 6034723919, 6034727448, 06/22/2005, 07/08/2007, , , , , PETRIN, RONALD, , PRESIDENT, 6034723939, 183500000X, 51, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3003023, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , RPH, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1659377869, 2, , <UNAVAIL>, COOS COUNTY NURSING HOME, , , , , , , , , , , , , , , , PO BOX 416, , BERLIN, NH, 035700416, US, 6037522343, 6037524773, 364 CATES HILL RD, , BERLIN, NH, 035701554, US, 6037522343, 6037524773, 06/22/2005, 02/06/2008, , , , , MORNEAU, JEANNETTE, , NURSING HOME ADMINISTRATOR, 6037522343, 313M00000X, 00636, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80547244, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , NHA, , , , , , , , , , , , , , , , 
1922004043, 2, , <UNAVAIL>, NORTH CONWAY AMBULANCE INC., , , , , , , , , , , , , , , , PO BOX 2787, , NORTH CONWAY, NH, 038602787, US, 6033565248, 6033568738, 185 VALLEY VW, , NORTH CONWAY, NH, 038605138, US, 6033565248, 6033568738, 06/23/2005, 07/09/2007, , , , , RILEY, WILLIAM, , OPERATIONS MANAGER, 6033565248, 3416L0300X, 0085, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80596260, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1720084841, 2, , <UNAVAIL>, VALLEY TRANSFER INC., , , , , , , , , , , , , , , , PO BOX 2787, , NORTH CONWAY, NH, 038602787, US, 6033565248, 6033568738, 185 VALLEY VW, , NORTH CONWAY, NH, 038605138, US, 6033565248, 6033568738, 06/23/2005, 07/09/2007, , , , , RILEY, WILLIAM, , OPERATIONS MANAGER, 6033565248, 3416L0300X, 0401, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30822309, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1134125040, 2, , <UNAVAIL>, COUNTY OF MERRIMACK, , , , , , , MERRIMACK COUNTY NURSING HOME, 3, , , , , , , , 325 DANIEL WEBSTER HWY, , BOSCAWEN, NH, 033032410, US, 6037962165, 6037963269, 325 DANIEL WEBSTER HWY, , BOSCAWEN, NH, 033032410, US, 6037962165, 6037963269, 06/24/2005, 06/22/2016, , , , , SHIBINETTE, LORI, A, ADMINISTRATOR, 6037962165, 208D00000X, , , N, 314000000X, 03351, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5BT, 01, NH, ANTHEM BLUE CROSS BLUE SHIELD, 3078723, 05, NH, , RE6251, 01, NH, NGS, 3071571, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , RN, MBA, NHA, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1629074224, 2, , <UNAVAIL>, ANESTHESIA CARE GROUP PC, , , , , , , , , , , , , , , , 88 MCGREGOR ST, STE. 303, MANCHESTER, NH, 031023750, US, 6036479325, 6036472453, 88 MCGREGOR ST, SUITE 303, MANCHESTER, NH, 031023750, US, 6036479325, 6036472453, 06/28/2005, 12/17/2012, , , , , ASSELIN, CHERYL, C, OFFICE MANAGER, 6036479325, 207L00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, NH, TIN, 30211277, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1295732527, 2, , <UNAVAIL>, CAREPLUS SEACOAST, , , , , , , , , , , , , , , , PO BOX 2154, , MERRIMACK, NH, 030542154, US, 6034248331, 6034242775, 1501 COLUMBIA CIR, , MERRIMACK, NH, 030544164, US, 6034248331, 6034242775, 07/01/2005, 08/23/2007, , , , , DAMON, ERIC, , PRESIDENT, 6034248331, 3416L0300X, 0343, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , CEO, , , , , , , , , , , , , , , , 
1578560249, 2, , <UNAVAIL>, WEST TREATMENT CENTER, , , , , , , WESTBRIDGE COMMUNITY SERVICES, 3, , , , , , , , 1361 ELM ST, SUITE 207, MANCHESTER, NH, 031011324, US, 6036344446, 6036344447, 1361 ELM ST, SUITE 207, MANCHESTER, NH, 031011324, US, 6036344446, 6036344447, 07/07/2005, 07/08/2007, , , , , WOODS, MARY, RYAN, CEO, 6036344446, 320800000X, , NH, X, 324500000X, , NH, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , RN,  LADC, , , , , , , , , , , , , , , , 
1053319517, 2, , <UNAVAIL>, GRAFTON COUNTY, , , , , , , , , , , , , , , , 3855 DARTMOUTH COLLEGE HWY, , NORTH HAVERHILL, NH, 037744909, US, 6037876971, 6037872035, 3855 DARTMOUTH COLLEGE HWY, , NORTH HAVERHILL, NH, 037744909, US, 6037876971, 6037872035, 07/08/2005, 06/17/2016, , , , , LABORE, CRAIG, JOSEPH, ADMINISTRATOR, 6037876971, 208D00000X, 1053319517, NH, N, 314000000X, 00214, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 99750025, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1770581597, 2, , <UNAVAIL>, GOLDEN CROSS AMBULANCE INC, , , , , , , , , , , , , , , , 1 LINCOLN HTS, , CLAREMONT, NH, 037432317, US, 6035426660, 6035428296, 1 LINCOLN HTS, , CLAREMONT, NH, 037432317, US, 6035426660, 6035428296, 07/14/2005, 07/08/2007, , , , , GIRARD, DALE, R, PRESIDENT, 6035426660, 341600000X, 0021, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80596343, 05, NH, , 7106343Y0NH01, 01, NH, BC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
