1477556231, 2, , <UNAVAIL>, UNIVERSITY OPHTHALMOLOGY ASSOCIATES, , , , , , , , , , , , , , , , 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 05/24/2005, 09/09/2009, , , , , CHEN, CHING, JYGH, MANAGING PARTNER, 6019845022, 207W00000X, 08640, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015396, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M. D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1982608691, 2, , <UNAVAIL>, SOUTHERN FAMILY MEDICINE, , , , , , , , , , , , , , , , 603 S HOLLY AVE, , COLLINS, MS, 394283801, US, 6017659393, 6017659363, 603 S HOLLY AVE, , COLLINS, MS, 394283801, US, 6017659393, 6017659363, 06/09/2005, 04/23/2014, , , , , BEASLEY, JASON, GREGORY, OWNER, 6017659393, 261QM2500X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 25D1026870, 01, , CLIA, 01588261, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, , , , , , , , , , , , , , , , 
1598769044, 2, , <UNAVAIL>, COVINGTON COUNTY HOSPITAL, , , , , , , FAMILY MEDICAL ASSOCIATES, 3, , , , , , , , P.O. BOX 2499, , COLLINS, MS, 394282499, US, 6017653180, 6017652808, 701 S HOLLY AVE, , COLLINS, MS, 394283894, US, 6017653180, 6017652808, 06/10/2005, 09/08/2009, , , , , PIERCE, CHAS, , PFS DIRECTOR, 6014230004, 261QR1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 25D0864691, 01, MS, CLIA, 09015963, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1235133968, 2, , <UNAVAIL>, CLAIBORNE COUNTY FAMILY HEALTH CENTER, , , , , , , CCFHC, 5, , , , , , , , 2045 HIGHWAY 61 N, P O BOX 741, PORT GIBSON, MS, 391504262, US, 6014373049, 6014373051, 2045 HIGHWAY 61 NORTH, , PORT GIBSON, MS, 391504262, US, 6014373049, 6014373051, 06/10/2005, 09/24/2013, , , , , DAVIS, LADONNA, BEASLEY, CHIEF OPERATING OFFICER, 6014373052, 261QF0400X, , MS, Y, 261QP2300X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09010054, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1649275736, 2, , <UNAVAIL>, JOSE L MADARA JR M D PA, , , , , , , , , , , , , , , , 102 HOTEL ST, , BOONEVILLE, MS, 388293303, US, 6627287711, 6627287713, 102 HOTEL ST, , BOONEVILLE, MS, 388293303, US, 6627287711, 6627287713, 06/16/2005, 08/14/2007, , , , , MADARA, JOSE, LAS LLAGAS, PRESIDENT, 6627287711, 208600000X, 7928, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00016361, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., JR., M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1972508604, 2, , <UNAVAIL>, RIGHT WAY MEDS, , , , , , , RIGHT WAY MEDS, 3, , , , , , , , PO BOX 10, , HOLLY SPRINGS, MS, 386350010, US, 6622528913, 6622524379, 151 E VAN DORN AVE, , HOLLY SPRINGS, MS, 386353025, US, 6622528913, 6622524379, 06/17/2005, 02/20/2017, , , , , LOMENICK, ROBERT, , OWNER, 6622529611, 333600000X, , , N, 3336L0003X, 02246/2.6, MS, Y, 3336S0011X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 06836798, 05, MS, , 2045449, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1932104619, 2, , <UNAVAIL>, REHAB AT WORK PLLC, , , , , , , , , , , , , , , , 65 DUTCH LN, , COLUMBUS, MS, 397025523, US, 6622414545, 6622414025, 65 DUTCH LN, , COLUMBUS, MS, 397025523, US, 6622414545, 6622414025, 06/17/2005, 05/05/2010, , , , , WRIGHT, TRACI, , PARTNER/OWNER, 6622414545, 225100000X, , , Y, 225X00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , OTR/L, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1932104650, 2, , <UNAVAIL>, TYSON DRUGS INC, , , , , , , TYSONS MEDICAL CENTER PHARMACY, 3, , , , , , , , 530 J M ASH DR, , HOLLY SPRINGS, MS, 386353238, US, 6622521011, 6622521189, 530 J M ASH DR, , HOLLY SPRINGS, MS, 386353238, US, 6622521011, 6622521189, 06/17/2005, 01/20/2012, , , , , LOMENICK, ROBERT, HUDSON, OWNER/ PHARMACIST, 6622521011, 332B00000X, , , N, 333600000X, 0432/01.1, MS, Y, 3336C0003X, F04232, MS, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2519354, 01, , NCPDP, 00330425, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, TYSON DRUGS INC, <UNAVAIL>, MR., , RPH, , , , , , , , , , , , , , , , 
1972508695, 2, , <UNAVAIL>, TYSON DRUGS INC, , , , , , , TYSON DRUGS INC, 3, , , , , , , , 145 E VAN DORN AVE, , HOLLY SPRINGS, MS, 386353025, US, 6622522321, 6622521656, 145 E VAN DORN AVE, , HOLLY SPRINGS, MS, 386353025, US, 6622522321, 6622521656, 06/17/2005, 01/07/2015, , , , , LOMENICK, ROBERT, , OWNER, 6622522321, 333600000X, , , N, 3336C0003X, 00500/1.1, MS, Y, 3336C0004X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0034797, 05, MS, , 2043239, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1285639906, 2, , <UNAVAIL>, TYSON DRUG INC, , , , , , , POTTS CAMP PHARMACY, 3, , , , , , , , 41 S CENTER ST, , POTTS CAMP, MS, 386599531, US, 6623337782, 6623334095, 41 S CENTER ST, , POTTS CAMP, MS, 386599531, US, 6623337782, 6623334095, 06/17/2005, 02/20/2017, , , , , LOMENICK, ROBERT, , OWNER, 6622522321, 333600000X, , , N, 3336C0003X, 02436/01.1, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00330080, 05, MS, , 2045412, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1568468080, 2, , <UNAVAIL>, ELLISVILLE STATE SCHOOL, , , , , , , , , , , , , , , , 1101 HWY 11 S, , ELLISVILLE, MS, 394374444, US, 6014779384, 6014775700, 1101 HWY 11 S, , ELLISVILLE, MS, 394374444, US, 6014779384, 6014775700, 06/21/2005, 07/08/2007, , , , , LASSITER, SUZIE, , DIRECTOR, 6014779384, 261Q00000X, C00638, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , , , , , , , , , , , , , , , , , 
1467457986, 2, , <UNAVAIL>, PRIORITY MEDICAL SUPPLY INC, , , , , , , PMSI, 3, , , , , , , , PO BOX 6370, , LAUREL, MS, 394404123, US, 6016492212, 6016492110, 127 SOUTH 15TH AVE, , LAUREL, MS, 394404123, US, 6016492212, 6016492110, 06/21/2005, 04/07/2011, , , , , PUGH, DONALD, H, CEO, 6013191211, 332B00000X, 016041766, MS, N, 332BX2000X, 06185/11.1, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, MS, EIN, 03123717, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., SR., , , , , , , , , , , , , , , , , 
1952307308, 2, , <UNAVAIL>, SERGIO G GONZALEZ MD PA, , , , , , , , , , , , , , , , 119 SOUTH 12TH AVENUE, , LAUREL, MS, 394404322, US, 6014259763, 6014285360, 119 SOUTH 12TH AVENUE, , LAUREL, MS, 394404322, US, 6014259763, 6014285360, 06/21/2005, 01/24/2008, , , , , GONZALEZ, SERGIO, G, DIRECTOR, 6016495842, 207ZD0900X, 6914, MS, Y, 208D00000X, 06914, MS, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00013124, 05, MS, , 512G70024, 01, MS, MEDICARE GROUP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1770589095, 2, , <UNAVAIL>, BURNHAM MCKINNEY PHARMACIES INC, , , , , , , , , , , , , , , , PO BOX 8647, , MOSS POINT, MS, 395620010, US, 2284753411, 2284759251, 5001 MAIN ST, , MOSS POINT, MS, 395632738, US, 2284753411, 2284759251, 06/22/2005, 06/24/2008, , , , , MCKINNEY, JOHN, A, OWNER/PRESIDENT, 2284753411, 251F00000X, 00774/01.1, MS, N, 332B00000X, 00774/01.1, MS, Y, 332BP3500X, 00774/01.1, MS, N, 332BX2000X, 00774/01.1, MS, N, 333600000X, 00774/01.1, MS, N, 3336C0003X, 00774011, MS, N, 3336C0004X, 00774011, MS, N, 3336H0001X, 00774011, MS, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00440057, 05, MS, , 100340002, 05, AL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , RPH, , , , , , , , , , , , , , , , 
1588660674, 2, , <UNAVAIL>, MAGNOLIA MEDICAL CENTER, , , , , , , , , , , , , , , , PO BOX 1797, , OCEAN SPRINGS, MS, 395661797, US, 2288725551, , 3612 GROVELAND RD, , OCEAN SPRINGS, MS, 39564, US, 2288725551, , 06/23/2005, 07/10/2007, , , , , SUMMERS, EVAN, L, OWNER, 2288725551, 207R00000X, 16638, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015939, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , D.O., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
