1902809924, 2, , <UNAVAIL>, THE SALUDA COUNSELING SERVICES CENTER INC., , , , , , , THE SALUDA CENTER, 3, , , , , , , , 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 2400 W MAIN ST, , ROCK HILL, SC, 297328968, US, 8033276103, 8033285443, 05/23/2005, 04/20/2008, , , , , JOHNSON, BARBARA, J, OFFICE MANAGER, 8033276103, 101YA0400X, , , N, 101YM0800X, , , Y, 101YP1600X, , , N, 101YP2500X, , , N, 1041C0700X, , , N, 106H00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========006, 01, SC, BCBS, =========003, 01, SC, BCBS, =========001, 01, SC, BCBS, =========002, 01, SC, BCBS, =========005, 01, SC, BCBS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , 
1962404111, 2, , <UNAVAIL>, COASTAL VISION CENTER, , , , , , , , , , , , , , , , PO BOX 15790, , SURFSIDE BEACH, SC, 295875790, US, 8436502400, 8436502525, 1651 GLENNS BAY RD, , SURFSIDE BEACH, SC, 295754836, US, 8436502400, 8436502525, 06/01/2005, 01/02/2008, , , , , POSTON, MELINDA, , TREAS, 8436502400, 152W00000X, 694, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DE4961, 01, SC, RR MEDICARE, DA9945, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1831191907, 2, , <UNAVAIL>, SUMTER HEARING ASSOCIATES, , , , , , , , , , , , , , , , 1116 ALICE DR, STE F, SUMTER, SC, 291501941, US, 8034697770, 8034697701, 1116 ALICE DR, STE F, SUMTER, SC, 291501941, US, 8034697770, 8034697701, 06/02/2005, 04/20/2008, , , , , CASTE, ALICE, B., OFFICE MANAGER, 8034697770, 231H00000X, 377, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , SA0179, 05, SC, , SA0049, 05, SC, , =========, 01, SC, EIN, GP3636, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , BSBA, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1396749206, 2, , <UNAVAIL>, MEDSERV AMT, , , , , , , CAREFORCE, 3, , , , , , , , PO BOX 170, , PLATTE CITY, MO, 640790170, US, 8169034314, 8164314973, 5 RICHLAND MEDICAL PARK DR, , COLUMBIA, SC, 292038000, US, 8034347222, , 06/08/2005, 07/08/2007, , , , , SMITH, MATTHEW, , DIRECTOR - PATIENT ACCOUNTS, 8164315791, 3416A0800X, , SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4206794, 05, NC, , AB0199, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1982608709, 2, , <UNAVAIL>, GREENWOOD COUNTY EMS, , , , , , , , , , , , , , , , 528 MONUMENT ST, STE 108, GREENWOOD, SC, 296462634, US, 8649428633, , 528 MONUMENT ST, STE 108, GREENWOOD, SC, 296462634, US, 8649428633, , 06/09/2005, 07/18/2007, , , , , SPATE, KENNETH, M, GREENWOOD COUNTY TREASURER, 8649428528, 341600000X, 035, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 502156, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1417951252, 2, , <UNAVAIL>, SUP-RX PHARMACY #53, , , , , , , , , , , , , , , , 401 PEARL ST, , DARLINGTON, SC, 295323814, US, 8433932552, 8433939811, 401 PEARL ST, , DARLINGTON, SC, 295323814, US, 8433932552, 8433939811, 06/09/2005, 07/08/2007, , , , , MCLEOD, RICKY, , OWNER, 8037751334, 333600000X, 50-000803, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4203751, 01, , DEA NUMBER, 4203751, 01, , NABP NUMBER, 708033, 05, SC, , 4203751, 01, , NCDP NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1790789501, 2, , <UNAVAIL>, SOUTH CAROLINA YOUTH ADVOCATE PROGRAM, , , , , , , SCYAP, 5, , , , , , , , 140 STONERIDGE DR, STE 350, COLUMBIA, SC, 292108258, US, 8037795500, 8037798444, 140 STONERIDGE DR, STE 350, COLUMBIA, SC, 292108258, US, 8037795500, 8037798444, 06/09/2005, 06/27/2016, , , , , COLE, LEX, , EXECUTIVE DIRECTOR, 8037795500, 251S00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 998MXH, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1104820752, 2, , <UNAVAIL>, COUNTY OF LANCASTER, , , , , , , LANCASTER COUNTY EMS, 3, , , , , , , , P.O. BOX 1809, , LANCASTER, SC, 297211809, US, 8032834134, 8032832092, 2006 PAGELAND HIGHWAY, , LANCASTER, SC, 29720, US, 8032834134, 8032832092, 06/10/2005, 02/23/2015, , , , , CATOE, CLAYTON, L, EMS DIRECTOR, 8034169901, 3416L0300X, 040 SC, SC, N, 3416L0300X, 040, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 500130, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1639173388, 2, , <UNAVAIL>, ROCK HILL SURGICAL ASSOCIATES PA, , , , , , , , , , , , , , , , PO BOX 36070, , ROCK HILL, SC, 297320500, US, 8033245256, 8033280440, 1721 EBENEZER RD, SUITE 175, ROCK HILL, SC, 297324103, US, 8033245256, 8033280440, 06/10/2005, 05/05/2008, , , , , FEDELE, PAT, , PRACTICE ADMINISTRATOR, 8033245256, 208600000X, 250665365, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , PA3601, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1417951930, 2, , <UNAVAIL>, PROSTHETIC CARE INC, , , , , , , , , , , , , , , , 1009 GROVE RD, STE B1, GREENVILLE, SC, 296054658, US, 8643702010, 8643701611, 1009 GROVE RD, STE B1, GREENVILLE, SC, 296054658, US, 8643702010, 8643701611, 06/13/2005, 10/24/2012, , , , , PRICE, SHERYL, SHEFFIELD, DIRECTOR OF REIMBURSEMENT, 5034938288, 332B00000X, , , N, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7701712, 05, NC, , DME191, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, HANGER INC, <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
1528062965, 2, , <UNAVAIL>, ALTMAN FOOT CARE PA, , , , , , , RENEE HUTTO-ALTMAN DPM, 5, , , , , , , , PO BOX 3325, , WEST COLUMBIA, SC, 291713325, US, 8037960616, 8037960812, 1004 12TH ST, , CAYCE, SC, 290333303, US, 8037960616, 8037960812, 06/13/2005, 05/01/2008, , , , , ALTMAN, RENEE, HUTTO, PRESIDENT, 8037960616, 213E00000X, 518, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , DPM, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1366446759, 2, , <UNAVAIL>, ROBERT M. SILGALS, , , , , , , CAROLINA CANCER AND BLOOD CARE SPECIALISTS, 3, , , , , , , , 9295-C MEDICAL PLAZA DR, , CHARLESTON, SC, 294069137, US, 8435721212, , 9295 - C MEDICAL PLAZA DR, , CHARLESTON, SC, 294069137, US, 8435721212, , 06/13/2005, 08/11/2010, , , , , SILGALS, ROBERT, M., PRESIDENT, 8435721212, 207RH0003X, 11792, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 301541, 05, SC, , MPA989, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1861496234, 2, , <UNAVAIL>, DEPARTMENT OF ALCOHOL AND OTHER DRUG ABUSE SERVICES, , , , , , , CHARLESTON CENTER, 3, , , , , , , , PO BOX 31398, , CHARLESTON, SC, 294171398, US, 8439583300, 8439583498, 5 CHARLESTON CENTER DR, , CHARLESTON, SC, 294011162, US, 8439583300, 8439583498, 06/13/2005, 08/10/2009, , , , , COWELL, MARK, S, DIRECTOR, 8439583383, 324500000X, ITP 18, SC, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , GP0939, 05, SC, , ADO3CH, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, CHARLESTON COUNTY GOVERNMENT, <UNAVAIL>, MR., , , , , , , , , , , , , , , , , , 
1477557841, 2, , <UNAVAIL>, PROSTHETIC CARE OF ANDERSON LLC, , , , , , , HANGER CLINIC, 3, , , , , , , , PO BOX 650846, , DALLAS, TX, 752650846, US, 8642617375, 8642250684, 305 E GREENVILLE ST, , ANDERSON, SC, 296215535, US, 8642617375, 8642250684, 06/13/2005, 05/01/2014, , , , , PRICE, SHERYL, SHEFFIELD, DIRECTOR OF REIMBURSEMENT, 5034938288, 332B00000X, , , N, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7705044, 05, NC, , DE1045, 05, SC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, HANGER,  INC., <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
