1952304008, 2, , <UNAVAIL>, WILPAGE INC., , , , , , , WILPAGE MEDICAL, 3, , , , , , , , PO BOX 37, , HAWTHORNE, NJ, 075070037, US, 9734234100, 9734230715, 146 GENEVIEVE AVE, , HAWTHORNE, NJ, 075062332, US, 9734234100, 9734230715, 05/23/2005, 11/19/2013, , , , , ABRUZZO, SYLVESTER, , TREASURER, 9738354716, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0093831, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., JR., , , , , , , , , , , , , , , , , 
1699778001, 2, , <UNAVAIL>, SAINT CLARES HOSPITAL INC, , , , , , , SAINT CLARE'S HEALTH SYSTEM, 5, , , , , , , , 66 FORD RD, , DENVILLE, NJ, 078341379, US, 9739831524, 9739831688, 25 POCONO RD, , DENVILLE, NJ, 078342954, US, 9736256000, , 05/31/2005, 07/24/2008, , , , , TEMPLE, RICHARD, STEWART, CHIEF INFORMATION OFFICER, 9739831524, 282N00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 310050, 01, NJ, HORIZON BC/BS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1255334678, 2, , <UNAVAIL>, SAINT CLARES HOSPITAL INC, , , , , , , SAINT CLARE'S HOSPITAL- - SUSSEX, 5, , , , , , , , 20 WALNUT ST, , SUSSEX, NJ, 074612537, US, 9737022600, , 20 WALNUT ST, , SUSSEX, NJ, 074612537, US, 9737022600, , 05/31/2005, 07/24/2008, , , , , TEMPLE, RICHARD, STEWART, CHIEF INFORMATION OFFICER, 9739831524, 282N00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 310120, 01, NJ, HORIZON BC/BS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1528061868, 2, , <UNAVAIL>, GREEN HILL INC, , , , , , , , , , , , , , , , 103 PLEASANT VALLEY WAY, , WEST ORANGE, NJ, 070522905, US, 9737312300, 9733256009, 103 PLEASANT VALLEY WAY, , WEST ORANGE, NJ, 070522905, US, 9737312300, 9733256009, 05/31/2005, 10/18/2007, , , , , DAVIS, TONI LYNN, , EXECUTIVE DIRECTOR - PRESIDENT, 9737312300, 310400000X, 30C001, NJ, N, 314000000X, 030707, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0015458, 05, NJ, , 4476905, 05, NJ, , 0754, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , L.N.H.A.,  MHA., , , , , , , , , , , , , , , , 
1013919315, 2, , <UNAVAIL>, ATLANTICARE REGIONAL MEDICAL CENTER, , , , , , , , , , , , , , , , 65 W JIMMIE LEEDS RD, , POMONA, NJ, 082409102, US, 6096521000, , 65 W JIMMIE LEEDS RD, , POMONA, NJ, 082409102, US, 6096521000, , 06/01/2005, 02/18/2008, , , , , GREINER, WALTER, , VP FINANCE & CHIEF FINANCIAL OFFICE, 6092722434, 282N00000X, 10101, NJ, Y, 282N00000X, 10102, NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4139402, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1528060829, 2, , <UNAVAIL>, ATLANTIC PROSTHETIC & ORTHOTIC SERVICES, , , , , , , , , , , , , , , , 199 NEW RD, SUITE 56-58, LINWOOD, NJ, 082212025, US, 6099276330, 6099276366, 199 NEW RD, SUITE 56-58, LINWOOD, NJ, 082212025, US, 6099276330, 6099276366, 06/01/2005, 01/19/2010, , , , , RUTLEDGE, PAUL, , ADMINISTRATOR, 6096527000, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5417406, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1861494007, 2, , <UNAVAIL>, CLIFTON SURGERY CENTER INC, , , , , , , , , , , , , , , , 1117 ROUTE 46, , CLIFTON, NJ, 070132449, US, 9737797210, 9737797387, 1117 ROUTE 46, , CLIFTON, NJ, 070132449, US, 9737797210, 9737797387, 06/01/2005, 07/08/2007, , , , , RICE, DANIEL, , PRESIDENT, 9737797210, 261QA1903X, 22496, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7831803, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , MD, , , , , , , , , , , , , , , , 
1841292984, 2, , <UNAVAIL>, NKR LLC, , , , , , , MULTICARE THERAPY CENTER, 3, , , , , , , , 1527 ROUTE 27 SUITE 1100, , SOMERSET, NJ, 08873, US, 7325457474, 7325452880, 1527 ROUTE 27 SUITE 1100, , SOMERSET, NJ, 08873, US, 7325457474, 7325452880, 06/01/2005, 03/04/2013, , , , , KOTIN, NATASHA, , CO-PRESIDENT, 7325457474, 261QR0401X, 23194, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1285636431, 2, , <UNAVAIL>, MORRIS HALL ST. LAWRENCE INC., , , , , , , MORRIS HALL HOME FOR THE AGED, 5, , , , , , , , 1 BISHOPS' DRIVE, , LAWRENCEVILLE, NJ, 08648, US, 6098969500, 6098968037, ONE BISHOPS' DR, , LAWRENCEVILLE, NJ, 08648, US, 6098960006, 6098950466, 06/01/2005, 11/06/2014, , , , , MACLEOD, FRANK, , DIRECTOR OF FINANCE, 6098969500, 310400000X, 47C000, NJ, N, 314000000X, 031103, NJ, Y, 314000000X, 031103-NURSINGHOME, NJ, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4483804, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1629070859, 2, , <UNAVAIL>, COCCO ENTERPRISES INC, , , , , , , , , , , , , , , , 2534 EMPIRE DR, , WINSTON SALEM, NC, 271036710, US, 3363972165, 3363972167, 3575 QUAKERBRIDGE RD, SUITE 204, TRENTON, NJ, 086191271, US, 6093935939, 6093935924, 06/01/2005, 10/18/2017, , , , , YOUNG, SARAH, , DIRECTOR OF CONTRACTING, 3363970991, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7222505, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1720080948, 2, , <UNAVAIL>, MEDIDYNE CORP, , , , , , , MEDIDYNE, 3, , , , , , , , 80 LITTLE FALLS RD, STE 5, FAIRFIELD, NJ, 070042136, US, 9738824567, 9738823637, 80 LITTLE FALLS RD, STE 5, FAIRFIELD, NJ, 070042136, US, 9738824567, 9738823637, 06/01/2005, 06/19/2008, , , , , L., GAYLE, UHLENBURG, PRESIDENT, 9738824567, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8046301, 05, NJ, , 80-00026, 01, TX, EVERCARE, 01628697, 05, NY, , 0000888816, 05, DE, , 01629632 0004, 05, PA, , G6627, 01, NY, EMPIRE BLUE CROSS, 3097955, 05, CT, , 1520683, 01, CA, UNITED MINE WORKERS, 608653, 01, VA, BLUE CROSS BLUE SHIELD, 5526019000, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1639173651, 2, , <UNAVAIL>, MARIN PHARMACY INC, , , , , , , , , , , , , , , , 5222 BERGENLINE AVE, , WEST NEW YORK, NJ, 070935524, US, 2018668348, 2018668254, 5222 BERGENLINE AVE, , WEST NEW YORK, NJ, 070935524, US, 2018668348, 2018668254, 06/08/2005, 02/04/2008, , , , , BLIACH, JULIUS, E, RPH IN CHARGE/COO, 2018668348, 333600000X, 28RS00408400, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4391501, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , RPH, , , , , , , , , , , , , , , , 
1396749354, 2, , <UNAVAIL>, SOMERSET MEDICAL ASSOCIATES PA, , , , , , , , , , , , , , , , PO BOX 8500-3240, , PHILADELPHIA, PA, 191780001, US, 7327303615, 7327303619, 1553 HIGHWAY 27, 3100, SOMERSET, NJ, 088733993, US, 7328463385, 7328460037, 06/08/2005, 07/02/2010, , , , , MCMANUS, SUSAN, A, OWNER, 7328463385, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1093719809, 2, , <UNAVAIL>, SHORE GASTROENTEROLOGY ASSOCIATES PC, , , , , , , , , , , , , , , , 1907 HIGHWAY 35, STE 1, OAKHURST, NJ, 077552760, US, 7325170060, 7325178589, 1907 HIGHWAY 35, STE 1, OAKHURST, NJ, 077552760, US, 7325170060, 7235178589, 06/09/2005, 02/12/2009, , , , , GROSS, FREDERIC, R, PRESIDENT OF COMPANY, 7325170060, 174400000X, 25MA047267000, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3385809, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
