1982607933, 2, , <UNAVAIL>, ADR LLC, , , , , , , , , , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 952 SETON DR, , CUMBERLAND, MD, 215021950, US, 3017773522, 3017771902, 05/23/2005, 08/16/2010, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DA5555, 01, , RAILROAD MEDICARE, 403741300, 05, MD, , 001586989, 01, WV, MT ST BS, 216A, 01, MD, MD BLUE SHIELD, 0201927000, 05, WV, , J249, 01, MD, MD BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1427051978, 2, , <UNAVAIL>, REESER'S PHARMACY INC., , , , , , , , , , , , , , , , 1013 S TALBOT ST, # F, SAINT MICHAELS, MD, 216632637, US, 4107452207, 4107452404, 1013 S TALBOT ST, # F, SAINT MICHAELS, MD, 216632637, US, 4107452207, 4107452404, 05/27/2005, 07/09/2007, , , , , REESER, GUY, MCCLELLAN, OWNER, 4107452207, 333600000X, P01690, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2118215, 01, , NCPDP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., III, P.D., , , , , , , , , , , , , , , , 
1336142058, 2, , <UNAVAIL>, WIENNER INC, , , , , , , MT VERNON PHARMACY, 3, , , , , , , , 900 CATHEDRAL ST, , BALTIMORE, MD, 212015311, US, 4105398030, 4105398115, 900 CATHEDRAL ST, , BALTIMORE, MD, 212015311, US, 4105398030, 4105398115, 05/27/2005, 11/22/2016, , , , , WIENNER, STEPHEN, , PRESIDENT, 4105398030, 332B00000X, , , N, 333600000X, , , N, 3336C0003X, P02306, MD, Y, 3336S0011X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 803001400, 05, MD, , 2036592, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1255334819, 2, , <UNAVAIL>, GUARDIAN MEDICAL TRANSPORT INC, , , , , , , , , , , , , , , , 85 W MAIN ST, , WESTMINSTER, MD, 211574800, US, 4108488202, 4108482644, 85 W MAIN ST, , WESTMINSTER, MD, 211574800, US, 4108488202, 4108482644, 05/27/2005, 02/13/2008, , , , , FLOREEN, BARBARA, NOELLE, OWNER, 4108488202, 3416L0300X, #113, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , J6050001, 01, DC, BC DC/METRO, 663AGU64047101, 01, MD, BC MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1174526792, 2, , <UNAVAIL>, AMERICAN MEDICAL EQUIPMENT INC, , , , , , , , , , , , , , , , 733 FREDERICK RD, , CATONSVILLE, MD, 212284503, US, 4107191222, 4107196676, 733 FREDERICK RD, , CATONSVILLE, MD, 212284503, US, 4107191222, 4107196676, 05/27/2005, 08/11/2008, , , , , GOLD, JANE, , DIRECTOR OF HME, 4107191222, 332B00000X, R2116, MD, Y, 332BC3200X, R2116, MD, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 010000300, 05, DC, , 2101183, 01, MD, MAMSI PROVIDER #, MK18, 01, MD, BC/BS OF MD, 000500200, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1720081425, 2, , <UNAVAIL>, WOODHAVEN PHARMACY LLC, , , , , , , WOODHAVEN HEALTH SERVICES, 5, , , , , , , , 9006 YELLOW BRICK RD, STE F, BALTIMORE, MD, 212372309, US, 4439278400, 4439278465, 9006 YELLOW BRICK RD, STE F, BALTIMORE, MD, 212372309, US, 4439278400, 4439278465, 05/27/2005, 07/09/2007, , , , , HILL, BARBARA, , CEO, 4439278474, 333600000X, 03009485, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4003497000, 05, MD, , 2126692, 01, MD, NCPDP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1710980255, 2, , <UNAVAIL>, CATONSVILLE PHARMACY LLC, , , , , , , CATONSVILLE PHARMACY LLC, 3, , , , , , , , 6350 FREDERICK RD, , BALTIMORE, MD, 212282375, US, 4107445959, 4107444810, 6350 FREDERICK RD, , BALTIMORE, MD, 212282375, US, 4107445959, 4107444810, 05/28/2005, 02/21/2017, , , , , LEIKACH, NEIL, , OWNER AND PHARMACIST, 4107445959, 333600000X, , , N, 3336C0003X, P02298, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2036487, 01, , PK, 559900800, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1184627622, 2, , <UNAVAIL>, REHABILITATION PRACTITIONERS INC, , , , , , , , , , , , , , , , 333 W CORK ST, UNIT 30, WINCHESTER, VA, 226013816, US, 5407229025, 5406679915, 324 E ANTIETAM ST, STE 300, HAGERSTOWN, MD, 217405768, US, 3017395060, 5406679915, 05/30/2005, 05/04/2016, , , , , CESTARO, MICHAEL, E, PRESIDENT, 5407229025, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 095098000, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , C.P.O., , , , , , , , , , , , , , , , 
1578566899, 2, , <UNAVAIL>, CITIZENS NURSING HOME BOARD OF HARFORD COUNTY, , , , , , , CITIZENS CARE & REHABILITATION CENTER, 3, , , , , , , , 415 MARKET ST, , HAVRE DE GRACE, MD, 210783301, US, 4109395500, 4109393471, 415 MARKET ST, , HAVRE DE GRACE, MD, 210783301, US, 4109395500, 4109393471, 05/31/2005, 07/08/2007, , , , , PANOS, PETER, A, ADMINISTRATOR, 4109395500, 314000000X, 12003, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0420390001, 01, , NSC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , N.H.A., , , , , , , , , , , , , , , , 
1457354748, 2, , <UNAVAIL>, SUBURBAN/NRH MEDICAL REHABILITATION INC, , , , , , , NRH SUBURBAN REGIONAL REHAB, 3, , , , , , , , 6410 ROCKLEDGE DR, STE 600, BETHESDA, MD, 208171844, US, 3015818030, , 6410 ROCKLEDGE DR, STE 600, BETHESDA, MD, 208171844, US, 3015818030, , 05/31/2005, 11/15/2007, , , , , ZUNIGA, PATRICK, , DIRECTOR PFS, 2028771175, 261QR0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 271624, 01, MD, MAMSI BETHESDA, 271645, 01, MD, MAMSI MONTROSE, 271647, 01, MD, MAMSI WHEATON, 271644, 01, MD, MAMSI GERMANTOWN SWC, KC76, 01, MD, BLUESHIELD, 271644, 01, MD, MAMSI GERMANTOWN EXC, 3081, 01, DC, BLUESHIELD, 271642, 01, MD, MAMSI FRIENDSHIP HGTS, 4071, 01, DC, BLUESHIELD PROF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1184627473, 2, , <UNAVAIL>, CARDIOLOGY CENTER LLP, , , , , , , CARDIOLOGY CENTER, 4, , , , , , , , 310 W NINTH ST, , FREDERICK, MD, 217014546, US, 3016945900, 3016940569, 310 W NINTH ST, , FREDERICK, MD, 217014546, US, 3016945900, 3016940569, 05/31/2005, 07/08/2007, , , , , BARAKAT, KUSAY, , MANAGING PARTNER, 3016945900, 207RC0000X, D21648, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1154324440, 2, , <UNAVAIL>, NRH-CPT REGIONAL REHAB LLC, , , , , , , , , , , , , , , , 102 IRVING ST NW, , WASHINGTON, DC, 200102921, US, , , 24035 THREE NOTCH RD, , HOLLYWOOD, MD, 206364871, US, 3013732588, , 05/31/2005, 12/08/2011, , , , , ZUNIGA, PATRICK, , DIRECTOR PFS, 2409653519, 261QR0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , LY31, 01, MD, BLUESHIELD, 3417, 01, DC, BLUE SHIELD, 284100, 01, MD, MAMSI, 284100, 01, MD, MAMSI ST MARY, 284471, 01, MD, MAMSI WALDORF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1710980081, 2, , <UNAVAIL>, BRADDOCK MEDICAL GROUP P.A., , , , , , , , , , , , , , , , 912 SETON DR, , CUMBERLAND, MD, 215021818, US, 3017223111, 3017225135, 912 SETON DR, , CUMBERLAND, MD, 215021818, US, 3017223111, 3017225135, 05/31/2005, 08/11/2015, , , , , LOVERIA, JOSE, T, CO-DIRECTOR, 3017223111, 171W00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6216720003, 01, , CIGNA, H529, 01, , MEDICARE GROUP ID, 910291400, 05, MD, , 00874296, 05, PA, , 0011509000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1386647642, 2, , <UNAVAIL>, CUMBERLAND CARDIOVASCULAR ASSOC 3, , , , , , , , , , , , , , , , 12502 WILLOWBROOK ROAD, SUITE 640, CUMBERLAND, MD, 215023772, US, 3017233780, 3017234859, 12502 WILLOWBROOK ROAD, SUITE 640, CUMBERLAND, MD, 215023772, US, 3017233780, 3017234859, 05/31/2005, 11/05/2010, , , , , SAHETA, NARAYAN, P, M.D., 3017233780, 207RC0000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , BC0372, 01, MD, RAILROAD MEDICARE, 527711600, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
