1528061553, 2, , <UNAVAIL>, DAYWEST HEALTHCARE SERVICES, , , , , , , HIGHLAND CARE CENTER, 3, , , , , , , , 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 05/23/2005, 06/17/2008, , , , , MURRAY, JASON, , ADMINISTRATOR, 8012782839, 314000000X, 2004-NCF-49, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 870304091006, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1689676892, 2, , <UNAVAIL>, HAVEN ASSOCIATES INC, , , , , , , HAVEN HOME HEALTH, 3, , , , , , , , 5292 COLLEGE DR, STE 304, MURRAY, UT, 841232960, US, 8016766000, 8016766001, 5292 COLLEGE DR, STE 304, MURRAY, UT, 841232960, US, 8016766000, 8016766001, 06/01/2005, 04/20/2008, , , , , GRISCAVAGE, JOHN, A, CEO, 8016766000, 251E00000X, , UT, Y, 251G00000X, , UT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========002, 05, UT, , =========001, 05, UT, , =========003, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1811991151, 2, , <UNAVAIL>, UTAH NAVAJO HEALTH SYSTEM INCORPORATED, , , , , , , , , , , , , , , , PO BOX 130, , MONTEZUMA CREEK, UT, 845340130, US, 4356513766, 4356513376, EAST HIGHWAY 262, , MONTEZUMA CREEK, UT, 845340130, US, 4356513766, 4356513376, 06/01/2005, 04/26/2017, , , , , JENSEN, MICHAEL, , CHIEF EXECUTIVE OFFICER, 4356513713, 207Q00000X, FQHC NOT REQUIRED, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1538163936, 2, , <UNAVAIL>, ROCKY MTN EYE CARE ASSOCIATES LC, , , , , , , , , , , , , , , , 4400 S 700 E, # 100, SALT LAKE CITY, UT, 841073000, US, 8012644450, 8012644409, 4400 S 700 E, # 100, SALT LAKE CITY, UT, 841073000, US, 8012644450, 8012644409, 06/13/2005, 01/15/2013, , , , , WILKINSON, E., LEIGH, DR, 8012644450, 261QS0132X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, , , , , , , , , , , , , , , , 
1306841606, 2, , <UNAVAIL>, SOUTHWEST UTAH PUBLIC HEALTH DEPT, , , , , , , , , , , , , , , , 620 S 400 E STE 400, , ST GEORGE, UT, 847707063, US, 4356733528, 4356286642, 620 S 400 E STE 400, , ST GEORGE, UT, 847707063, US, 4356733528, 4356286425, 06/15/2005, 10/08/2008, , , , , BLODGETT, DAVID, , DIRECTOR HEALTH OFFICER, 4356733528, 251K00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 103000705103, 01, UT, IHC, =========SW1, 01, UT, EDUCATORS MUTUAL, *0081, 05, UT, , 33255, 01, UT, PEHP, 35570, 01, UT, DESERET MUTUAL, PRA03223, 01, UT, MOLINA, 010007072, 01, UT, RAILROAD MEDICARE, =========00001, 01, UT, BLUE CROSS BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , MD, , , , , , , , , , , , , , , , 
1336144153, 2, , <UNAVAIL>, MOUNTAIN VIEW NURSING AND REHABILITATION, , , , , , , PAYSON NURSING AND REHABILITATION CENTER, 3, , , , , , , , 55 S PROFESSIONAL WAY, , PAYSON, UT, 846515637, US, 8014659211, 8014651052, 55 S PROFESSIONAL WAY, , PAYSON, UT, 846515637, US, 8014659211, 8014651052, 06/17/2005, 11/17/2015, , , , , BRAMALL, CHARLES, TODD, ADMINISTRATOR, 8014659211, 314000000X, 328890-1501, UT, N, 314000000X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========010, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , SSW/HFA, , , , , , , , , , , , , , , , 
1477558237, 2, , <UNAVAIL>, COMMUNITY HEALTH CENTERS INC., , , , , , , COPPERVIEW CLINIC, 3, , , , , , , , 1798 S WEST TEMPLE, STE A100, SLC, UT, 841151874, US, 8014126933, 8014126950, 8446 HARRISON ST, , MIDVALE, UT, 840473568, US, 8015665494, 8014126950, 06/17/2005, 04/20/2008, , , , , CEPEDA, MARIA, C, BILLING SUPERVISOR, 8014126933, 261QF0400X, 2210586-0150, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========048, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1336144096, 2, , <UNAVAIL>, CANYONLANDS MEDICAL LC, , , , , , , , , , , , , , , , 285 W TABERNACLE ST, STE 101, ST GEORGE, UT, 847703385, US, 4356347625, 4356340716, 285 W TABERNACLE ST, STE 101, ST GEORGE, UT, 847703385, US, 4356347625, 4356340716, 06/17/2005, 07/08/2007, , , , , GREGORY, EARLE, SMITH, OPERATIONS, 4356347625, 332BX2000X, 5528522-1703, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5528522-1703, 01, UT, PHARMACY NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1346245065, 2, , <UNAVAIL>, HANGER PROSTHETICS & ORTHOTIC INC, , , , , , , HANGER CLINIC, 3, , , , , , , , PO BOX 650846, , DALLAS, TX, 752650846, US, 8014675483, 8014844591, 2785 E 3300 S, , SALT LAKE CITY, UT, 841092818, US, 8014675483, 8014844591, 06/17/2005, 03/08/2018, , , , , ANGELINE, GRACE, , REG COMPLIANCE SPECIALIST III, 7149612102, 332B00000X, , , N, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 002961100, 05, ID, , 1346245065, 05, UT, , 107893300, 05, WY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, HANGER,  INC., <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
1366447112, 2, , <UNAVAIL>, COMMUNITY HEALTH CENTERS INC., , , , , , , STEPHEN D. RATCLIFFE CLINIC, 3, , , , , , , , 1798 S WEST TEMPLE, STE A100, SLC, UT, 841151874, US, 8014126933, 8014126950, 1365 W 1000 N, , SLC, UT, 841161654, US, 8013285756, 8014126950, 06/17/2005, 04/20/2008, , , , , CEPEDA, MARIA, C, BILLING SUPERVISOR, 8014126933, 261QF0400X, 2210592-0150, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========048, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1902801657, 2, , <UNAVAIL>, ECLIPSE HOME HEALTH INC, , , , , , , , , , , , , , , , 746 E WINCHESTER ST, G10, SALT LAKE CITY, UT, 841078512, US, 8012931199, 8012931224, 746 E WINCHESTER ST, G10, SALT LAKE CITY, UT, 841078512, US, 8012931199, 8012931224, 06/18/2005, 05/01/2009, , , , , GOURLEY, DIANA, LEE, PRESIDENT, 8012931199, 251E00000X, 2004HHA35654, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========000, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RN, , , , , , , , , , , , , , , , 
1598761090, 2, , <UNAVAIL>, MOUNTAIN VIEW FOOT AND ANKLE SPECIALISTS INC, , , , , , , , , , , , , , , , 2310 N 400 E, STE A, LOGAN, UT, 843411788, US, 4357872000, 4357871913, 1030 MEDICAL DR STE A, , BRIGHAM CITY, UT, 843023276, US, 4357872000, 4357871913, 06/21/2005, 10/19/2017, , , , , HENINGER, SPENCER, BOWEN, PRESIDENT, 4357872000, 213E00000X, 53361970501, UT, N, 213ES0103X, 5336197-0501, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , D.P.M., 193400000X SINGLE SPECIALTY  GROUP, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , 
1649276957, 2, , <UNAVAIL>, JASON A AHEE MD PC, , , , , , , DIXIE OPHTHALMIC SPECIALISTS AND LASER EYE CENTER, 3, , , , , , , , 1085 S BLUFF ST, , ST GEORGE, UT, 847705245, US, 4356882020, 4356342646, 1085 S BLUFF ST, , ST GEORGE, UT, 847705245, US, 4356882020, 4356342646, 06/22/2005, 08/14/2007, , , , , AHEE, JASON, A, MEDICAL DOCTOR, 4356882020, 152W00000X, 360700, UT, N, 207W00000X, 360700, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1649276957, 01, UT, NPI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , II, MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1578569646, 2, , <UNAVAIL>, MOUNTAIN VIEW FOOT AND ANKLE SPECIALISTS INC, , , , , , , , , , , , , , , , 2310 N 400 E, SUITE A, NORTH LOGAN, UT, 843411788, US, 4357872000, 4357871913, 2310 N 400 E, SUITE A, NORTH LOGAN, UT, 843411788, US, 4357872000, 4357871913, 06/23/2005, 10/19/2017, , , , , HENINGER, SPENCER, BOWEN, DPM, 4357872000, 213E00000X, 53361970501, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1326044959, 2, , <UNAVAIL>, INFINIA AT GRANITE HILLS, , , , , , , , , , , , , , , , 950 E 3300 S, , SALT LAKE CITY, UT, 841062141, US, 8012958000, 8014865146, 950 E 3300 S, , SALT LAKE CITY, UT, 841062141, US, 8012958000, 8014865146, 06/28/2005, 04/20/2008, , , , , ROBERTSON, SCOTT, , OWNER, 8012958000, 314000000X, 1999NCF114, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
