1720081763, 2, , <UNAVAIL>, TOWNE & COUNTRY PHARMACY FLORIST & GIFTS INC, , , , , , , , , , , , , , , , PO BOX 364, 675 EAST HWY 60, HARDINSBURG, KY, 401430364, US, 2707562151, 2707565199, 675 EAST HWY 60, , HARDINSBURG, KY, 401430675, US, 2707562151, 2707565199, 05/23/2005, 05/03/2017, , , , , WILLOUGHBY, LAURA, GAYLE, PHARMACIST, 2707562151, 183500000X, P06296, KY, N, 332BX2000X, MG0340, KY, Y, 333600000X, P06296, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90050147, 05, KY, , 000000189330, 01, KY, ANTHEM, 1071411, 01, KY, PASSPORT, 54032560, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RPH, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1881697464, 2, , <UNAVAIL>, CLINICAL ASSOCIATES INC, , , , , , , CPA LAB, 3, , , , , , , , PO BOX 950251, , LOUISVILLE, KY, 402950251, US, 5028979594, 5028961808, 2307 GREENE WAY, , LOUISVILLE, KY, 402204009, US, 5028979594, 5028961808, 05/27/2005, 06/26/2008, , , , , ROWAN, DIANNE, S, DIRECTOR FINANCE BILLING, 5028979594, 207ZP0102X, 200291, KY, Y, 291U00000X, 200291, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2432349000, 01, KY, PASSPORT ADVANTAGE, 1049047, 01, KY, PASSPORT KY MEDICAID, 000000058863, 01, KY, ANTHEM - - BLUE CROSS BLUE SHIELD, 100009130, 05, IN, , 020379400, 01, KY, BLACK LUNG PROGRAM, 163387800, 01, KY, FECA, 000000061989, 01, KY, ANTHEM WELLPOINT, 65908972, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, NORTON ENTERPRISES INC, <UNAVAIL>, , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1730182445, 2, , <UNAVAIL>, RIVER CITY ORTHOPAEDIC SURGEONS PSC, , , , , , , STONESTREET MEDICAL IMAGING, 3, , , , , , , , 9300 STONESTREET RD, STE 100, LOUISVILLE, KY, 402722876, US, 5022714150, 5029331024, 9300 STONESTREET RD, STE 100, LOUISVILLE, KY, 402722876, US, 5022714150, 5029331024, 05/27/2005, 01/07/2009, , , , , DOUGLAS, MICHELLE, , CREDENTIALING MANAGER, 5024031401, 261QM1200X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65922528, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, RIVER CITY ORTHOPAEDIC SURGEONS PSC, <UNAVAIL>, MRS., , , , , , , , , , , , , , , , , , 
1437152923, 2, , <UNAVAIL>, GRAYSON COUNTY HOSPITAL FOUNDATION INC, , , , , , , TWIN LAKES EMERGENCY, 3, , , , , , , , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 05/27/2005, 07/10/2007, , , , , MEREDITH, STEPHEN, L, CEO, 2702599400, 207P00000X, NA, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 24428030000, 01, KY, PASSPORT ADVANTAGE, 000000057018, 01, KY, ANTHEM, 50001188, 01, KY, PASSPORT, 65930950, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, GRAYSON COUNTY HOSPITAL FOUNDATION, <UNAVAIL>, , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1023011509, 2, , <UNAVAIL>, ASHLAND BOYD COUNTY HEALTH DEPARTMENT, , , , , , , , , , , , , , , , PO BOX 4069, , ASHLAND, KY, 411054069, US, 6063299444, 6063245423, 2916 HOLT ST, , ASHLAND, KY, 411014080, US, 6063247181, 6063245423, 05/27/2005, 11/18/2007, , , , , HARDY, MARIA, C, PUBLIC HEALTH DIRECTOR II, 6063299444, 251K00000X, NOT REQUIRED, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1023011509, 01, KY, NPI, 1245234913, 01, KY, NPI, 1639358237, 01, KY, NPI, 1568641173, 01, KY, NPI, 1164526489, 01, KY, NPI, 1972507465, 01, KY, NPI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1316940885, 2, , <UNAVAIL>, WEST TOWNE PHARMACY INC, , , , , , , WEST TOWNE PHARMACY, 3, , , , , , , , 2755 W PARK DR, , PADUCAH, KY, 420019058, US, 2704430909, 2704435544, 2755 W PARK DR, , PADUCAH, KY, 420019058, US, 2704430909, 2704435544, 05/27/2005, 07/01/2015, , , , , MATHIS, GRANT, , OWNER/PIC, 2704430909, 3336C0003X, P07652, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2148441, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1891798336, 2, , <UNAVAIL>, SOUTHALL PHARMACY PLLC, , , , , , , , , , , , , , , , 325 W WALNUT ST, STE 500, LEBANON, KY, 400331379, US, 2706923111, 2706924211, 325 W WALNUT ST, STE 500, LEBANON, KY, 400331379, US, 2706923111, 2706924211, 05/28/2005, 02/09/2018, , , , , SOUTHALL, FRANCIS, W., OWNER, 2706923111, 333600000X, P02451, KY, N, 3336C0003X, P02451, KY, Y, 3336L0003X, P02451, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90040783, 05, KY, , 54027925, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., JR., RPH, , , , , , , , , , , , , , , , 
1356344733, 2, , <UNAVAIL>, PRO-CARE HOME HEALTH LIMITED, , , , , , , , , , , , , , , , PO BOX 109, , HARTFORD, KY, 423470109, US, 2702983112, 2702984766, 122 W UNION ST, , HARTFORD, KY, 423471416, US, 2702983112, , 05/31/2005, 03/01/2010, , , , , BAILEY, KEVIN, , DIRECTOR OF INFORMATION SYSTEMS, 2702983112, 251B00000X, 150138, KY, N, 251E00000X, 150138, KY, Y, 273Y00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 42000158, 01, KY, WAIVER, 45003522, 01, KY, KY EPSDT, 34000265, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1174526487, 2, , <UNAVAIL>, SPECIALTY ORTHOPAEDICS PSC, , , , , , , , , , , , , , , , 6400 DUTCHMANS PKWY, STE 215, LOUISVILLE, KY, 402053343, US, 5027218288, 5027218792, 6400 DUTCHMANS PKWY, STE 215, LOUISVILLE, KY, 402053343, US, 5027218288, 5027218792, 05/31/2005, 08/17/2016, , , , , GABRIEL, THOMAS, MATTHEW, PRESIDENT, 5027218288, 207X00000X, 31883, KY, Y, 207XS0106X, 32683, KY, N, 213ES0103X, 00251, KY, N, 332B00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DE3727, 01, KY, GRP RAILROAD MEDICARE, 65915308, 05, KY, , 1129663, 01, KY, GRP PASSPORT, 80900293, 01, KY, GRP MEDICAID PODIATRY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1730181033, 2, , <UNAVAIL>, JESSAMINE COUNTY FISCAL COURT, , , , , , , JESSAMINE COUNTY AMBULANCE SERVICE, 5, , , , , , , , 836 4TH AVE, , HUNTINGTON, WV, 257011407, US, 8006764785, 3045224222, 101 S 2ND ST, , NICHOLASVILLE, KY, 403561554, US, 8598872987, 8598810940, 06/01/2005, 09/08/2009, , , , , HATFIELD, WENDELL, R, DIRECTOR, 8598872987, 3416L0300X, 1449, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000000070456, 01, KY, ANTHEM, 590007628, 01, KY, RAILROAD MEDICARE, 55057020, 05, KY, , 560004161, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1235131533, 2, , <UNAVAIL>, WESTERN KENTUCKY UNIVERSITY, , , , , , , WKU HEALTH SERVICES, 3, , , , , , , , 1906 COLLEGE HEIGHTS BLVD #8400, , BOWLING GREEN, KY, 421011041, US, 2707455641, 2707452449, 1906 COLLEGE HEIGHTS BLVD #8400, , BOWLING GREEN, KY, 421011041, US, 2707455641, 2707452449, 06/01/2005, 01/18/2008, , , , , HEADY, LINDA, , INSURANCE & BILLING COORDINATOR, 2707455034, 207Q00000X, 30097, KY, N, 207R00000X, 36233, KY, Y, 363L00000X, 1041583, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , 
1114929494, 2, , <UNAVAIL>, GRAYSON COUNTY HOSPTIAL FOUNDATION INC, , , , , , , TWIN LAKES REGIONAL MEDICAL CENTER, 3, , , , , , , , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 06/01/2005, 02/21/2008, , , , , MEREDITH, STEPHEN, L, CEO, 2702599400, 2355S0801X, , , N, 235Z00000X, , , N, 282N00000X, 100151, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1048799, 01, KY, PASSPORT, 01006733, 05, KY, , 000000054565, 01, KY, ANTHEM PROVIDER #, 2432221000, 01, KY, PASSPORT ADVANTAGE, 4588851800, 05, KY, , 4500270600, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, GRAYSON COUNTY HOSPITAL FOUNDATION, <UNAVAIL>, , , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
1023010303, 2, , <UNAVAIL>, GRAYSON COUNTY HOSPITAL FOUNDATION INC, , , , , , , TWIN LAKES REGIONAL MEDICAL CENTER SWING, 3, , , , , , , , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 910 WALLACE AVE, , LEITCHFIELD, KY, 427541418, US, 2702599400, , 06/01/2005, 07/10/2007, , , , , MEREDITH, STEPHEN, L, CEO, 2702599400, 275N00000X, 100151, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12700449, 05, KY, , 000000054566, 01, KY, ANTHEM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, GRAYSON COUNTY HOSPITAL FOUNDATION, <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
